41,pse-lake-tapps-conference-center,Lake Tapps Conference Center,Puget Sound Energy,"18526 Driftwood Drive E, Lake Tapps, WA 98391",n/a,"9,970","civic, new-building"
42,ssc-auto-tech-building,Auto Tech Building,South Seattle College,"6000 16th Ave SW, Seattle, WA 98106",2007,"9,000","education, renovation"
43,nsc-student-services,Student Services,North Seattle College,"9600 College Way N, Seattle, WA 98103",1992,"8,000","education, renovation"
44,pse-wild-horse-wind-farm-visitor-center,Wild Horse Wind Farm Visitor Center,Puget Sound Energy,"25901 Vantage Hwy, Vantage, WA 98926",n/a,"7,566","civic, new-building"
45,pc-administration-building,Administration Building,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2008,"7,500","education, new-building"
46,ssc-landscape-horticulture-building,Landscape Horticulture Building,South Seattle College,"6000 16th Ave SW, Seattle, WA 98106",2004,"7,040","education, new-building"
47,uw-center-for-child-and-family-well-being,Center for Child and Family Well-Being,University of Washington,"3903 Brooklyn Ave NE, Seattle, WA 98105",2011,"6,698","education, tenant-improvement"
48,uw-department-of-comparative-medicine,Department of Comparative Medicine,University of Washington,"1535 NE Pacific St, Seattle, WA 98195",tbd,"5,850","education, tenant-improvement"
49,uw-disability-resources-for-students,Disability Resources for Students,University of Washington,"3785 Benton Ln, Seattle, WA 98105",2012,"5,000","education, tenant-improvement"
50,svc-early-childhood-center,Early Childhood Center,Skagit Valley College,"2405 E College Way, Mt. Vernon, WA 98273",tbd,"4,410","education, new-building"
51,uw-the-burke-museum,The Burke Museum,University of Washington,"1688 NE 45th St, Seattle, WA 98105",2006,"3,500","cultural, renovation"
52,su-campion-chapel,Campion Chapel,Seattle University,"901 12th Ave, Seattle, WA 98122",2002,"3,100","education, renovation, spiritual"
53,uw-center-for-statistics-and-the-social-sciences,Center for Statistics,University of Washington,"331 NE Stevens Way, Seattle, WA 98105",2001,"2,600","education, tenant-improvement"
54,ptmsc-marine-science-center,Marine Science Center,Port Townsend Marine Science Society,"532 Battery Way, Port Townsend, WA 98368",2001,"2,000","cultural, new-building"
55,pc-wellness-center,Wellness Center,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2012,,"education, new-building"
56,saa-new-office,New Office,Schacht Aslani Architects,"901 5th Ave, Seattle, WA 98164",2011,,renovation
57,ghc-spellman-library,Spellman Library,Grays Harbor College,"1620 Edward P Smith Dr, Aberdeen, WA 98520",2003,,"education, renovation"
58,tcc-art-gallery,Art Gallery,Tacoma Community College,"6501 S 19th St, Tacoma, WA 98466",2002,,"education, new-building"
59,pcc-renovation,Renovation,Plymouth Congregational Church,"1217 6th Ave, Seattle, WA 98101",2001,,"spiritual, renovation"
60,esc-rooftop-addition,Rooftop Addition,Evergreen State College,"2700 Evergreen Parkway NW, Olympia, WA 98505",1992,,"education, renovation"
61,fbc-first-baptist-church,First Baptist Church,First Baptist Church,,1991,,"spiritual, renovation"
